,Country,year,perc_share_low_CO2_kmeans_1,perc_share_low_CO2_kmeans_2,perc_share_low_CO2_kmeans_3,perc_share_low_CO2_kmeans_4,perc_share_low_CO2_kmeans_5,perc_share_low_CO2_kmeans_6,perc_share_low_CO2_kmeans_7,perc_share_low_CO2_kmeans_8,perc_share_low_CO2_kmeans_9,perc_share_low_CO2_kmeans_10,perc_share_low_CO2_kmeans_11,perc_share_low_CO2_kmeans_12,perc_share_low_CO2_kmeans_13,perc_share_low_CO2_kmeans_14,perc_share_low_CO2_kmeans_15,perc_share_low_CO2_kmeans_16,perc_share_low_CO2_kmeans_17,perc_share_low_CO2_kmeans_18,perc_share_low_CO2_kmeans_19,perc_share_low_CO2_kmeans_20,perc_share_low_CO2_kmeans_21,perc_share_low_CO2_kmeans_22,perc_share_low_CO2_kmeans_23,perc_share_low_CO2_kmeans_24,perc_share_low_CO2_kmeans_25,perc_share_low_CO2_kmeans_26,perc_share_low_CO2_kmeans_27,perc_share_low_CO2_kmeans_28,perc_share_low_CO2_kmeans_29,perc_share_low_CO2_kmeans_30
171,IS,2018,11.11111111111111,11.304347826086957,8.51063829787234,16.260162601626014,13.793103448275861,11.214953271028037,12.380952380952381,10.576923076923077,13.274336283185843,8.19672131147541,9.89010989010989,8.653846153846153,8.620689655172415,6.5420560747663545,11.818181818181818,13.385826771653544,11.818181818181818,10.526315789473683,6.730769230769231,13.513513513513514,10.091743119266056,14.782608695652174,12.62135922330097,7.547169811320755,8.823529411764707,9.322033898305085,9.649122807017543,11.711711711711711,15.789473684210526,11.881188118811881
172,IS,2019,14.492753623188406,13.846153846153847,13.157894736842104,12.698412698412698,5.970149253731343,19.444444444444446,12.121212121212121,11.940298507462686,5.0,11.864406779661017,11.827956989247312,17.28395061728395,5.172413793103448,11.688311688311687,7.8125,6.25,14.285714285714285,8.47457627118644,10.0,6.756756756756757,14.492753623188406,12.0,8.75,12.5,7.246376811594203,15.151515151515152,15.66265060240964,4.166666666666666,11.428571428571429,12.0
173,IS,2020,22.727272727272727,27.27272727272727,18.96551724137931,24.489795918367346,14.0625,26.5625,33.89830508474576,23.809523809523807,26.229508196721312,31.11111111111111,26.785714285714285,29.166666666666668,26.666666666666668,17.1875,30.357142857142854,24.285714285714285,29.03225806451613,31.343283582089555,23.809523809523807,22.0,23.4375,35.13513513513514,29.6875,17.543859649122805,30.76923076923077,29.411764705882355,18.666666666666668,34.84848484848485,32.142857142857146,29.03225806451613
174,IT,2010,0.0,0.01811922449719152,0.0,0.0,0.01792435920415845,0.0,0.017946877243359655,0.018145527127563055,0.0,0.0,0.0,0.0,0.01809299800977022,0.017898693395382137,0.0,0.0,0.018590816136828406,0.017857142857142856,0.0,0.018406037180195105,0.018115942028985508,0.0,0.018040772145047807,0.0,0.0,0.0,0.018034265103697024,0.0,0.0,0.0
175,IT,2011,0.04648280136349551,0.0,0.015720798616569723,0.0,0.030864197530864196,0.0,0.03151095005514416,0.03114779629341224,0.015730690577316343,0.01530221882172915,0.0,0.01591596371160274,0.0,0.015479876160990714,0.031665611146295125,0.0,0.0156128024980484,0.031133250311332503,0.015506280043417583,0.015271838729383019,0.01551590380139643,0.01551590380139643,0.03108003108003108,0.03116235587410408,0.015607928827844546,0.03116721209287829,0.015698587127158554,0.015487068297971194,0.046132554205751186,0.015527950310559006
176,IT,2012,0.0,0.0,0.051546391752577324,0.033433634236041454,0.017001020061203673,0.01713796058269066,0.0335345405767941,0.06727211570803902,0.016998130205677375,0.0,0.033607797008906065,0.03386960203217612,0.033852403520649964,0.01709986320109439,0.016972165648336725,0.03377807802736024,0.05114217524718718,0.016972165648336725,0.016871941960519655,0.017041581458759374,0.0168947457340767,0.03395585738539898,0.03346720214190094,0.016835016835016835,0.050050050050050046,0.01675603217158177,0.01694053870913095,0.03414134516899966,0.05058168942842691,0.049983338887037654
177,IT,2013,0.049609326553392036,0.08666584127770212,0.06292474200855776,0.1103617412630288,0.06253908692933083,0.06216585851050603,0.06147037128104253,0.04941321803582458,0.04956629491945477,0.08668730650154799,0.0981474665685192,0.06209637357178341,0.04965859714463067,0.08706467661691543,0.04952947003467063,0.050492299924261554,0.07390983000739099,0.08697813121272366,0.04997501249375312,0.09952724558347847,0.061812337742613424,0.04944987019409074,0.07435865658693766,0.0859317456420329,0.03779289493575208,0.04951720722951226,0.0,0.04927929037821855,0.037064492216456635,0.06209637357178341
178,IT,2014,0.10375237765865468,0.158144438587243,0.2753398726553089,0.13893713094824592,0.17382235355466713,0.08561643835616438,0.1046207497820401,0.12227074235807861,0.10438413361169101,0.034818941504178275,0.03459010722933241,0.17593244194229415,0.15825567082820466,0.12363122571529496,0.13783597518952445,0.08644536652835408,0.17096939647803042,0.13932427725531174,0.13908205841446453,0.052201148425265353,0.11963766877456845,0.13790725736941908,0.15308725973805068,0.0521557719054242,0.08638562543192813,0.08589589417625838,0.10567101091933778,0.14096916299559473,0.12071046732195206,0.08758101243650376
179,IT,2015,0.4128354287858885,0.30377824188342506,0.18556318426424198,0.31319086219602066,0.364403528960491,0.2455610124669437,0.24532930741649367,0.3739715781600598,0.3006388575723412,0.1866368047779022,0.205799812909261,0.2617311647036829,0.18818216033120058,0.2827521206409048,0.22787694644891757,0.22429906542056074,0.24204058834481476,0.24276377217553688,0.3364485981308411,0.19007793195210038,0.257542310522443,0.22581859239744073,0.14741109268472452,0.1324252743094968,0.3234398782343988,0.2709502612734662,0.18556318426424198,0.2819018981394475,0.2624179943767573,0.24195049320677461
180,IT,2016,0.32003413697461064,0.35706784289014915,0.34408602150537637,0.30594405594405594,0.3076923076923077,0.4207868714496108,0.4183179216204315,0.39430449069003287,0.3063457330415755,0.3491924923614142,0.413582934262081,0.28402883985143107,0.5224205485415759,0.3501860363318013,0.37053182214472535,0.48936170212765956,0.3695652173913043,0.4630650496141125,0.4364906154517678,0.41942604856512145,0.4351610095735422,0.44500953591862685,0.28303940779446984,0.39473684210526316,0.26229508196721313,0.3706934147405146,0.34987972884321017,0.3231365790607497,0.41179020372778496,0.49419853889127635
