,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
289515,129786,cz,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2001-116*0356*17,2ec2,km4f1350e,lec2lxa9,volkswagen,crafter,m1,,1.0,2356.0,,218.0,,4325.0,1710.0,1716.0,diesel,m,1968.0,84.0,,,,,,,f,2016,,,
194596,303227,it,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford werke,e1*98-14*0194*30,ju2,sfcd1l,5bdand,ford,tourneo courier,m1,,312.0,1280.0,,120.0,,2489.0,1496.0,,petrol,m,998.0,74.0,,,,,,,f,2016,,,
142897,51878,lu,,general motors,opel,adam opel ag,adam opel ag,e4*2007-46*0204*22,p-j-sw,badla12,ba3j1jnwj5,opel,astra gtc,m1,,1.0,1437.0,,149.0,,2695.0,1587.0,1587.0,petrol,m,1364.0,103.0,,,,,,,f,2016,,,
316423,163043,be,,bmw group,bmw ag,bayerische motoren werke ag,bmw,e1*2007-46*0512*18,x3,xx31,6a25000a,bmw,x4 xdrive30d,m1,,1.0,1900.0,,156.0,,2810.0,1616.0,1632.0,diesel,m,2993.0,190.0,,,,,,,f,2016,,,
478313,403405,de,,kia,kia slovakia,kia motors slovakia sro,kia motors (sk),e4*2007-46*0261*11,yns,f5df1,m62bz1,kia,venga,m1,,19.0,1356.0,,115.0,,2615.0,1547.0,1551.0,diesel,m,1582.0,94.0,,,,,,,f,2016,,,
203722,368856,se,,vw group pc,skoda,skoda auto as,skoda auto a.s.,e11*2007-46*0243*18,5e,aacjsax0,nfd7fd7cw005stmln677,skoda,octavia,m1,,4.0,1335.0,,128.0,,2676.0,1533.0,1502.0,petrol,m,1798.0,132.0,,,,,,,f,2016,,,
343881,223011,es,,kia,kia slovakia,kia motors slovakia sro,kia motors slovakia s.r.o.,e4*2007-46*0261*11,yns,f5da1,m61dz1,kia,venga,m1,,93.0,1345.0,,115.0,,2615.0,1553.0,1557.0,diesel,m,1396.0,,,,,,,,f,2016,,,
41547,3926347,cz,,vw group pc,volkswagen,volkswagen ag,"volkswagen ag, wolfsburg, srn",e1*2001-116*0252*43,2k,afcuubx0,l0j2fm6fm6bb002n1sbvr27mmll271,volkswagen,caddy,m1,m1,1.0,1537.0,,132.0,,3006.0,1537.0,1538.0,diesel,m,1968.0,110.0,,,,,,,f,2017,,,
325218,4476459,fr,,bmw group,bmw ag,bayerische motoren werke ag,bmw ag,e1*2007-46*0277*17,1c,2h31,6h340000,bmw,serie 2,m1,m1,1.0,1420.0,,130.0,,2690.0,1526.0,1526.0,petrol,m,1499.0,100.0,,,,,,,f,2017,,,
312533,811960,dk,,renault,dacia,automobile dacia sa,dacia,e2*2001-116*0314*80,sd,5sda1,5sda1f,dacia,sandero,m1,m1,1.0,1134.0,,110.0,,2589.0,1497.0,1486.0,petrol,m,898.0,66.0,,,,,,,f,2017,,,
111886,1347915,bg,,,mazda,mazda motor corporation,mazda motor corporation,e1*2001-116*0448*29,gh,626,66w01,mazda,mazda 6,m1,m1,1.0,1375.0,,129.0,,2830.0,1595.0,1585.0,petrol,m,1998.0,107.0,,,,,,,f,2017,,,
41392,491868,fi,,tata motors jaguar land rover,jaguar land rover limited,jaguar land rover limited,jaguar land rover limited,e11*2007-46*3784*02,lr,s5bd2f,a5b2,land rover,discovery,m1,,1.0,2298.0,,189.0,,2922.0,1703.0,1698.0,diesel,m,2993.0,190.0,,,,,,,f,2017,,,
167747,520444,se,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2007-46*0623*26,au,gac4dcyax0,fm6fm62q025n7mmon1ml69vr2,vw,golf,m1,,2.0,1386.0,,111.0,,2620.0,1533.0,1503.0,diesel,m,1968.0,110.0,,,,,,,f,2017,,,
107205,440025,gb,,general motors,opel,adam opel gmbh,vauxhall,e1*2001-116*0379*41,s-d,cacec12,bx2g1eehk5,vauxhall,corsa se cdti ecotec s-s,m1,,1.0,1225.0,,94.0,,2510.0,1472.0,1464.0,diesel,m,1248.0,,,,,,,,f,2017,,,
40704,491180,fi,,hyundai,hyundai czech,hyundai motor manufacturing czech sro,hyundai motor manufacturing czech s.r.o,e11*2007-46*3807*01,pde,b5p31,m64bz1,hyundai,i30,m1,,2.0,1279.0,,124.0,,2650.0,1573.0,1581.0,petrol,m,1353.0,103.0,,,,,,,f,2017,,,
325414,752366,dk,,vw group pc,seat,seat sa,seat,e9*2007-46*0094*21,5f,bchzdx0v,fm6sfm6aj0117mmvlo568,seat,leon,m1,m1,1.0,1202.0,,102.0,,2618.0,1549.0,1520.0,petrol,m,999.0,85.0,,,,,,,f,2017,,,
335419,1842548,lu,,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*1678*00,fml2,xm51,6a1400c0,mini,cooper,m1,,3.0,1190.0,,109.0,,2495.0,1501.0,1501.0,petrol,m,1499.0,100.0,,,,,,,f,2017,,,
178751,2726720,fr,,,toyota,toyota motor europe nv sa,toyota motor europe,e6*2007-46*0001*06,j15tm,gdj150(mf),gdj150l-gkteyw(9g),toyota,land cruiser 150,m1g,m1,1.0,2310.0,,194.0,,2790.0,1585.0,,diesel,m,2755.0,130.0,,,,,,,f,2017,,,
55380,68978,at,,vw group pc,skoda,skoda auto as,skoda auto a.s. tr.,e11*2007-46*0010*25,5l,acdfsax0,nfm5fm5a4051st617,skoda,yeti,m1,,2.0,1452.0,,118.0,,2576.0,1531.0,1527.0,diesel,m,1968.0,81.0,,,,,,,f,2017,,,
72537,2471598,fr,,fca italy spa,chrysler,fca us llc,fca us llc,e4*2007-46*0186*20,wk,jlkcm,h5h72s,jeep,grand cherokee,m1,m1,1.0,2403.0,,184.0,,2915.0,1628.0,1634.0,diesel,m,2987.0,184.0,,,,,,,f,2017,,,
133883,350208,gr,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford werke gmbh,e13*2001-116*0185*25,wa6,t8cj4kx,7hcaagrz,ford,galaxy,m1,,1.0,1841.0,,152.0,,2850.0,1606.0,1606.0,diesel,m,1997.0,132.0,,,,,,,f,2017,,,
252222,4026922,cz,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,"ford-werke gmbh, köln, srn",e13*2007-46*1138*22,dyb,m9dg15x,5cdbbamc,ford,focus,m1,m1,1.0,1325.0,,127.0,,2648.0,1554.0,1544.0,petrol,m,1498.0,134.0,,,,,,,f,2017,,,
131551,1272003,be,,vw group pc,volkswagen,volkswagen ag,volkswagen,e1*2007-46*0627*28,auv,vacczcax0,fm6fm6aj015n7mmon1ml63vr2,"volkswagen, vw",golf,m1,m1,1.0,1316.0,,125.0,,2620.0,1533.0,1504.0,petrol,m,1395.0,92.0,,,,,,,f,2017,,,
312217,4070251,cz,,vw group pc,skoda,skoda auto as,"skoda auto a.s., mlada bolesla",e11*2007-46*0243*18,5e,aacjsax0,nfm6fm62s031stmln677,skoda,octavia,m1,m1,1.0,1320.0,,135.0,,2676.0,1533.0,1502.0,petrol,m,1798.0,132.0,,,,,,,f,2017,,,
173232,983134,be,,daimler ag,daimler ag,daimler ag,mercedes,e1*2001-116*0480*23,204x,r84pp1,nzaa0504,mercedes-benz,glc 350 e 4matic,m1,m1,1.0,2040.0,,64.0,,2873.0,1639.0,1616.0,petrol-electric,m,1991.0,155.0,,,,,,,f,2017,,,
81401,419818,gb,,bmw group,bmw ag,bayerische motoren werke ag,mini,e1*2007-46*1682*02,fmx,yu52,ca2500l0,mini,countryman cooper sd all4 auto,m1,,43.0,1610.0,,133.0,,2670.0,1563.0,1565.0,diesel,m,1995.0,,,,,,,,f,2017,,,
297996,795281,dk,,,automobiles citroen,automobiles citroen,automobiles citroen,e11*2001-116*0238*12,p,s,cfb3-w1b000,citroen,c1,m1,m1,1.0,930.0,,88.0,,2340.0,1430.0,1420.0,petrol,m,998.0,51.0,,,,,,,f,2017,,,
74323,1794206,lu,,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*0277*17,1c,2n31,6a040000,bmw,m240i xdrive,m1,,1.0,1760.0,,179.0,,2690.0,1516.0,1534.0,petrol,m,2998.0,250.0,,,,,,,f,2017,,,
142207,1369903,de,,vw group pc,audi ag,audi ag,audi,e1*2007-46*0591*19,8u,xdftcf1,fd7fd7bh002p8u077mmem1,audi,q3,m1,m1,7.0,1590.0,,139.0,,2601.0,1553.0,1575.0,diesel,m,1968.0,88.0,,,,,,,f,2017,,,
320509,4508589,fr,,bmw group,bmw ag,bayerische motoren werke ag,bmw ag,e1*2007-46*0421*18,x5,ls01,6a250000,bmw,serie x,m1g,m1,1.0,2115.0,,148.0,,2933.0,1662.0,1662.0,diesel,m,1995.0,170.0,,,,,,,f,2017,,,
187805,2033454,ro,,,toyota,toyota motor europe nv sa,toyota motor europe nv sa,e11*2001-116*0304*11,e15ej(a),zre181(e),zre181l-dexgpw(2m),toyota,corolla,m1,m1,1.0,1280.0,,129.0,,2700.0,1525.0,1520.0,petrol,m,1598.0,97.0,,,,,,,f,2017,,,
195071,1302212,bg,,kia,kia,kia motors corporation,kia motors corporation,e4*2007-46*0633*07,rp,c7p31,m63az1,kia,carens,m1,m1,1.0,1519.0,,165.0,,2750.0,1563.0,1576.0,petrol,m,1999.0,121.0,,,,,,,f,2017,,,
275187,1832808,lt,,vw group pc,skoda,skoda auto as,skoda auto as,e11*2001-116*0326*41,3t,acchhbx01,nfd6fd6d9011stn667,skoda,superb,m1,,1.0,1525.0,,145.0,,2836.0,1578.0,1566.0,petrol,m,1984.0,,,,,,,,f,2017,,,
83566,3943365,cz,,renault,dacia,automobile dacia sa,"dacia, mioveni, rumunsko",e2*2001-116*0314*82,sd,jsdcv,jsdcvg,dacia,lodgy,m1,m1,1.0,1243.0,,139.0,,2810.0,1492.0,1478.0,petrol,m,1598.0,75.0,,,,,,,f,2017,,,
312793,4409206,fr,,vw group pc,audi ag,audi ag,audi ag,e1*2007-46*0607*26,8v,sczpbf1,fd7fd7gc003p8v337mmem1,audi,a3 sportback,m1,m1,1.0,1390.0,,129.0,,2621.0,1534.0,1534.0,petrol,m,1984.0,140.0,,,,,,,f,2017,,,
105561,1783777,nl,,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*0315*18,3k,8g31,6h350000,bmw,320i,m1,,1.0,1585.0,,147.0,,2810.0,1540.0,1580.0,petrol,m,1998.0,135.0,,,,,,,f,2017,,,
270292,1827913,lt,,renault,renault,renault sas,renault sas,e2*2001-116*0364*43,w,kw42,kw42b2,renault,kangoo,m1,,1.0,1395.0,,115.0,,2697.0,1521.0,1533.0,diesel,m,1461.0,,,,,,,,f,2017,,,
8532,2787740,at,,vw group pc,seat,seat sa,"seat, s.a.",e9*2007-46*0094*26,5f,fczeax0v,fd7sfd7cw0027mmvlm583,seat,leon st,m1,m1,1.0,1297.0,,117.0,,2620.0,1533.0,1504.0,petrol,m,1395.0,110.0,,,,,,,f,2018,,,
272030,7304577,de,,bmw group,bmw ag,bayerische motoren werke ag,bayer.mot.werke-bmw,e1*2007-46*1676*05,f1x,jh71,6hw500c0,bmw,x1 xdrive 18d,m1,m1,1.0,1655.0,1774.0,132.0,132.0,2670.0,1561.0,1562.0,diesel,m,1995.0,110.0,,,,,0.005,0.0,f,2018,,,
253725,2822706,at,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2001-116*0450*34,5n,acdfgax1,am6am6a6016gl5n5nvr27mm62,"volkswagen, vw",tiguan,m1,m1,1.0,1735.0,,145.0,,2787.0,1575.0,1564.0,diesel,m,1968.0,110.0,,,,,,,f,2018,,,
299716,7223744,de,,bmw group,bmw ag,bayerische motoren werke ag,bayer.mot.werke-bmw,e1*2007-46*0314*24,3l,8d11,6aw50000,bmw,320d efficient dynamics,m1,m1,1.0,1585.0,1737.0,120.0,156.0,2810.0,1543.0,1586.0,diesel,m,1995.0,120.0,,,,,,,f,2018,,,
251385,7477780,de,ip-01-wdb-2017-1425,daimler ag,daimler ag,daimler ag,daimler (d),e1*2001-116*0480*27,204x,r733t1,czaa153a,mercedes-benz,glc 250 4matic,m1,m1,1.0,1735.0,1961.0,172.0,209.0,2873.0,1618.0,1612.0,petrol,m,1991.0,155.0,,e1 8,1.2,,,,f,2018,,,
286990,11033624,es,,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*1675*04,f2at,6t91,caw50000,bmw,218d active tourer,m1,m1,1.0,1555.0,1646.0,119.0,141.0,2670.0,1571.0,1572.0,diesel,m,1995.0,110.0,,,,,-0.017,0.0,f,2018,,,
111653,3460321,gb,,psa-opel,automobiles peugeot,automobiles peugeot,peugeot,e2*2007-46*0534*02,m,r,hnyh-c1f000,peugeot,3008 allure s-s,m1,m1,1.0,1325.0,,117.0,,2675.0,1601.0,1610.0,petrol,m,1200.0,,,,,,,,f,2018,,,
76597,11743766,pl,ip-01-wdb-2017-1618,daimler ag,daimler ag,daimler ag,daimler ag,e1*2001-116*0480*28,204 x,r75ht1,czaa050b,mercedes-benz,amg glc 43,m1,m1,1.0,1865.0,2031.0,220.0,245.0,2873.0,1645.0,1645.0,petrol,m,2996.0,270.0,,,,,,,f,2018,,,
114087,4398616,se,,toyota-mazda,toyota,toyota motor europe nv sa,toyota motor europe nv-sa,e11*2001-116*0236*13,ab1,kgb40(h),kgb40l-ahmgkw(2p),toyota,toyota aygo,m1,,1.0,930.0,,95.0,,2340.0,1430.0,1420.0,petrol,m,998.0,51.0,,,,,,,f,2018,,,
248054,7315542,de,,bmw group,bmw ag,bayerische motoren werke ag,bayer.mot.werke-bmw,e1*2007-46*1750*04,g5k,jm11,daw500l0,bmw,540i xdrive,m1,m1,1.0,1840.0,2009.0,180.0,222.0,2975.0,1605.0,1630.0,petrol,m,2998.0,250.0,,e24 9 10,2.9,,,,f,2018,,,
94688,13026466,be,,vw group pc,volkswagen,volkswagen ag,"volkswagen, vw",e1*2007-46*1783*08,aw,abdkla,fd7fd7cw001n2vr27cp1ba,volkswagen,polo,m1,m1,1.0,1180.0,1312.0,106.0,134.0,2551.0,1499.0,1483.0,petrol,m,999.0,70.0,,,,,,0.0,f,2018,,,
34010,12871935,be,,bmw group,bmw ag,bayerische motoren werke ag,bmw,e1*2007-46*0412*16,x6,kv21,6a15r000,bmw,x6 xdrive30d,m1g,m1,1.0,2140.0,,183.0,,2933.0,1640.0,1706.0,diesel,m,2993.0,155.0,,,,,,,f,2018,,,
34408,2927419,at,ip-01-wdf-2017-2002,daimler ag,daimler ag,daimler ag,daimler ag,e1*2007-46*0457*19,639-2,koa7l310nxx,3fkr2x29bexx,mercedes-benz,vito tourer,m1,m1,1.0,2037.0,2445.0,174.0,206.0,3430.0,1666.0,1646.0,diesel,m,2143.0,100.0,,,,,,,f,2018,,,
3499,8510009,de,,vw group pc,volkswagen,volkswagen ag,volkswagen-vw,e1*2001-116*0307*54,3c,acdfgax0,fm6fm62q028sv7cnvr21ba,"volkswagen, vw",passat,m1,m1,1.0,1540.0,1684.0,114.0,141.0,2786.0,1586.0,1570.0,diesel,m,1968.0,110.0,,,,,,0.0,f,2018,,,
51032,12553270,es,,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*1680*03,fml4,xv51,6aw500c0,mini,cooper sd,m1,m1,1.0,1370.0,1500.0,112.0,138.0,2567.0,1503.0,1503.0,diesel,m,1995.0,125.0,,,,,,,f,2018,,,
247309,10819444,es,,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*0277*20,1c,2u11,6aw40000,bmw,220d,m1,m1,1.0,1530.0,1651.0,121.0,152.0,2690.0,1526.0,1558.0,diesel,m,1995.0,140.0,,e24 19,,,,,f,2018,,,
143161,14315695,it,ip-08-w0v-2018-0032,psa-opel,opel automobile,opel automobile gmbh,opel automobile gmbh,e4*2007-46*0996*13,b-k,da062cb12,ba2baljuk15,opel,astrasportstourer,m1,m1,1.0,1410.0,1519.0,122.0,132.0,2662.0,1548.0,1565.0,diesel,m,1598.0,81.0,,,,,,,f,2018,,,
1883,2749901,at,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford-werke gmbh,e9*2007-46*3142*08,jhh,xpjc1jx,5appznabcap,ford,fiesta trend,m1,m1,1.0,1157.0,1267.0,115.0,131.0,2493.0,1508.0,1471.0,petrol,m,1084.0,52.0,,,,,,,f,2018,,,
312702,15258562,bg,,bmw group,bmw gmbh,bmw m gmbh,bmw m gmbh,e1*2007-46*1791*02,g6gt,jw01,caw50800,bmw,640d xdrive,m1,m1,1.0,2010.0,2303.0,161.0,206.0,3070.0,1609.0,1641.0,diesel,m,2993.0,235.0,,e24 9,1.7,,,,f,2018,,,
274399,14240835,it,,daimler ag,daimler ag,daimler ag,daimler ag,e1*2001-116*0431*46,204,r034p0,czaa1574,mercedes,c 200,m1,m1,1.0,1465.0,,137.0,,2840.0,1576.0,1534.0,petrol,m,1991.0,135.0,,e1 8,1.2,,,,f,2018,,,
269967,7497913,de,ip-01-wdb-2018-1406,daimler ag,daimler ag,daimler ag,daimler (d),e1*2001-116*0470*23,245g,234ht2,hzba150a,mercedes-benz,cla 200,m1,m1,1.0,1395.0,1516.0,149.0,166.0,2699.0,1551.0,1545.0,petrol,m,1595.0,115.0,,e1 8,1.4,,,,f,2018,,,
140910,414107,fi,ip-24-wba-2018-6119,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*1918*00,g5x,cv61,dab509ma,bmw,x5 xdrive30d,m1g,m1g,1.0,2185.0,2387.0,175.0,217.0,2975.0,1688.0,1705.0,diesel,m,2993.0,195.0,,e24 19,1.1,,,,f,2018,,,
147469,6404208,de,,psa-opel,automobiles citroen,automobiles citroen,citroen (f),e2*2007-46*0530*05,v,e,ahxk-n2k00l,citroen,jumpy space tourer,m1,m1,1.0,1801.0,2168.0,146.0,182.0,3275.0,1630.0,1618.0,diesel,m,1997.0,110.0,,,,,,,f,2018,,,
127665,15045588,cz,,vw group pc,skoda,skoda auto as,skoda auto as,e11*2001-116*0326*41,3t,accrlbx01,nfd6fd6d9002stn617,?koda,superb,m1,m1,1.0,1520.0,,121.0,,1578.0,2836.0,1578.0,diesel,m,1968.0,110.0,,,,,,,f,2018,,,
80878,8585888,lv,,vw group pc,audi ag,audi ag,audi ag,e1*2007-46*1550*05,fy,xdetaq1,qd7ad7cj002pfy047mmem1fs,audi,q5,m1,m1,1.0,1845.0,,132.0,,2832.0,1622.0,1626.0,diesel,m,1968.0,140.0,,,,,,,f,2018,,,
14632,8071899,de,,bmw group,bmw ag,bayerische motoren werke ag,bayer.mot.werke-bmw,e1*2007-46*1683*04,fmk,jz31,dhw50000,mini,clubman cooper,m1,m1,1.0,1395.0,1561.0,131.0,154.0,2670.0,1563.0,1565.0,petrol,m,1499.0,100.0,,,,,,,f,2018,,,
21840,3143891,pl,ip-08-tmb-2018-0006,vw group pc,skoda,skoda auto as,skoda auto as,e8*2007-46*0317*04,3t,aadfhax11,nad7ad7gc0057cnstn1c7a,skoda,superb,m1,m1,1.0,1655.0,1875.0,135.0,168.0,1572.0,2836.0,1572.0,diesel,m,1968.0,140.0,,,,,,0.0,f,2018,,,
154430,5260850,gb,ip-11-sad-2018-0056,tata motors jaguar land rover,jaguar land rover limited,jaguar land rover limited,jaguar,e11*2007-46*3324*07,dc,e,504a,jaguar,f-pace portfolio awd auto,m1g,m1g,1.0,1878.0,2028.0,182.0,230.0,2874.0,1641.0,1654.0,petrol,m,1997.0,221.0,,,,,,,f,2018,,,
79800,12141310,lu,,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*0315*20,3k,8h71,6a250000,bmw,318d,m1,m1,1.0,1595.0,,114.0,,2810.0,1543.0,1583.0,diesel,m,1995.0,110.0,,,,,,,f,2018,,,
102079,11351877,be,,psa-opel,opel,adam opel gmbh,opel,e8*2007-46*0264*00,z-b,ca0ebab12,ba1k5adlk5,opel,insignia grand sport,m1,m1,1.0,1472.0,,138.0,,2829.0,1607.0,1610.0,petrol,m,1490.0,121.0,,,,,,,f,2018,,,
218904,6746801,de,ip-mlb53as_a0_0610-wau-1,vw group pc,audi ag,audi ag,audi,e1*2001-116*0350*38,4l,xdmvaq1,qa8qa8d6007rt91c214bfaem1s5fl,audi,sq7,m1g,m1g,1.0,2395.0,2538.0,198.0,244.0,2999.0,1640.0,1709.0,diesel,m,3956.0,320.0,246.0,,,,,,f,2019,,,
202209,12012326,si,ip-04-kmh-2018-0926,hyundai,hyundai,hyundai motor company,hyundai motor company,e4*2007-46*1259*04,os,f5p24,d71a11,hyundai,kona,m1,m1,1.0,1517.0,1589.0,158.0,187.0,2600.0,1575.0,1584.0,petrol,m,1591.0,130.0,,0,,,,0.0,f,2019,,,
283025,3668664,ro,ip-08-tmb-2018-0056,vw group pc,skoda,skoda auto as,skoda auto as,e8*2007-46*0318*06,5e,aadkrfx0,nfm6fm6aj0167cpstvln1c7a,skoda,octavia,m1,m1,1.0,1246.0,1387.0,110.0,131.0,2667.0,1533.0,1524.0,petrol,m,999.0,85.0,,,,,,,f,2019,,,
56968,13699728,cz,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e13*2007-46*1845*06,a1,dadax0ac4,fd7fd7cw0027cp1ca,volkswagen,t-roc,m1,m1,1.0,1350.0,1479.0,127.0,159.0,2590.0,1538.0,1538.0,petrol,m,1498.0,110.0,,,,,,,f,2019,,,
223608,13594019,be,ip-08-tmb-2018-0066,vw group pc,skoda,skoda auto as,skoda,e8*2007-46*0318*04,5e,acdadax0,nfd7fd7cw0027cpstvln1b7a,skoda,octavia,m1,m1,1.0,1317.0,1453.0,116.0,143.0,2667.0,1533.0,1524.0,petrol,m,1498.0,110.0,,,,,,,f,2019,,,
203819,4376649,de,ip-1-wdb-2017-2443,daimler ag,daimler ag,daimler ag,daimler d,e1*2001-116*0480*30,204x,r704p1,czaa053a,mercedes-benz,glc 250 d 4matic,m1,m1,1.0,1855.0,2064.0,161.0,191.0,2873.0,1618.0,1612.0,diesel,m,2143.0,150.0,,,,,,,f,2019,,,
57313,5227032,de,ip-0010280-wba-1,bmw group,bmw ag,bayerische motoren werke ag,bayermotwerke-bmw,e1*2007-46*1678*06,fml2,xr51,daw400l0,mini,cooper s,m1,m1,1.0,1295.0,1403.0,129.0,159.0,2495.0,1485.0,1485.0,petrol,m,1998.0,141.0,,e24 19,1.1,,,,f,2019,,,
31202,14145555,es,ip-0010219-wba-1,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*1682*06,fmx,yu71,daw50000,mini,cooper s e all4,m1,m1,1.0,1760.0,1880.0,56.0,70.0,2670.0,1563.0,1565.0,petrol-electric,p,1499.0,100.0,138.0,,,,,,f,2019,,,
236077,14083651,at,ip-mqb48zz_a0_0105-tmb-1,vw group pc,skoda,skoda auto as,skoda auto as tr,e8*2007-46*0317*08,3t,aadczax01,nfd7fd7cw0024bfstn1b6a,skoda,superb,m1,m1,1.0,1530.0,1641.0,110.0,148.0,2836.0,1578.0,1566.0,diesel,m,1598.0,88.0,,e8 19,1.2,,,,f,2019,,,
148318,11281920,pl,ip-11-wf0-2018-0030,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford - verke gmbh,e13*2001-116*0185*33,wa6,uncp1jx,7egbznaetfd,ford,s-max,m1,m1,1.0,1784.0,1985.0,172.0,196.0,2850.0,1606.0,1606.0,petrol,m,1498.0,121.0,,,,,,,f,2019,,,
23180,9973164,fr,ip-9-wf0-2018-0025,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford werke gmbh,e9*2007-46*0092*27,jk8,m1ju11x,5aapznab4dv,ford,ecosport,m1,m1,1.0,1349.0,1454.0,125.0,155.0,2519.0,1519.0,1519.0,petrol,m,998.0,92.0,,,,,,0.0,f,2019,,,
58283,11822946,it,ip-01-wdb-2018-1430,daimler ag,daimler ag,daimler ag,daimler ag,e1*2007-46*1909*01,f2b,o0h9t2,fzaa150b,mercedes-benz,b 180,m1,m1,1.0,1405.0,1558.0,125.0,144.0,2729.0,1559.0,1564.0,petrol,m,1332.0,100.0,,e1 9,1.7,,,,f,2019,,,
42003,13705047,cz,ip-13-wau-2018-5023,vw group pc,audi ag,audi ag,audi ag,e1*2001-116*0430*59,b8,a2detaq1,qd7qd7cl002rt071e18s57cpbem1,audi,a4 avant,m1,m1,1.0,1690.0,1850.0,138.0,165.0,2829.0,1561.0,1561.0,diesel,m,1968.0,140.0,,,,,,,f,2019,,,
164335,3799569,gr,ip-2019_6410-wdb-1,daimler ag,daimler ag,daimler ag,daimler ag,e1*2001-116*0431*53,204,r48lt0,claa047a,mercedes-benz,c 300,m1,m1,1.0,1765.0,1880.0,144.0,171.0,2840.0,1577.0,1561.0,petrol,h,1991.0,190.0,,,,,,,f,2019,,,
111844,13962313,be,ip-08-w0v-2018-0055,psa-opel,opel automobile,opel automobile gmbh,opel,e8*2007-46*0264*08,z-b,ca073cb12,ba1zahjek25,opel,insignia grand sport,m1,m1,1.0,1441.0,1577.0,129.0,149.0,2829.0,1605.0,1608.0,petrol,m,1490.0,103.0,,,,,,,f,2019,,,
119790,5200905,de,ip-02-vf3-2017-1130,psa-opel,automobiles peugeot,automobiles peugeot,peugeot f,e2*2007-46*0070*44,c,uyhx,n-2s,peugeot,2008,m1,m1,1.0,1280.0,1428.0,105.0,139.0,2537.0,1482.0,1492.0,diesel,m,1499.0,88.0,,,,,,,f,2019,,,
173148,2627970,it,ip-02-w0v-2018-1132,psa-opel,opel automobile,opel automobile gmbh,opel automobile gmbh,e4*2007-46*1194*07,p7 monocab c,ea072cb12,ba1vagpal25,opel,crosslandx,m1,m1,1.0,1350.0,1487.0,104.0,138.0,2604.0,1513.0,1491.0,diesel,m,1499.0,88.0,,,,,,,f,2019,,,
223667,6575543,de,ip-13-wau-2018-0093,vw group pc,audi ag,audi ag,audi,e1*2007-46*1552*11,ga,xdgtef1,fd7fd7cw002rt11b177cpaem1ha0,audi,q2,m1,m1,1.0,1435.0,1569.0,118.0,157.0,2587.0,1557.0,1577.0,diesel,m,1598.0,85.0,,,,,,,f,2019,,,
242282,11011484,fi,ip-08-w0v-2018-0057,psa-opel,opel automobile,opel automobile gmbh,opel automobile gmbh,e8*2007-46*0264*08,z-b,ca074cb12,ba1zakadl25,opel,insignia grand sport,m1,m1,1.0,1472.0,1628.0,138.0,165.0,2829.0,1605.0,1608.0,petrol,m,1490.0,121.0,,,,,,,f,2019,,,
250926,13607069,cz,,vw group pc,audi ag,audi ag,audi ag,e1*2007-46*1552*05,ga,xczpbq1,qd7ad7gc007pga057mvem1ha0,audi,q2,m1,m1,1.0,1505.0,,144.0,,2587.0,1557.0,1557.0,petrol,m,1984.0,140.0,,,,,,,f,2019,,,
193818,1086480,hu,ip-yhz____atn86142-vr3-0,psa-opel,psa,psa automobiles sa,peugeot,e2*2007-46*0624*06,e,c,yhzr-d22010,peugeot,rifter,m1,m1,1.0,1707.0,1831.0,117.0,155.0,2975.0,1563.0,1577.0,diesel,m,1499.0,96.0,,,,,,,f,2019,,,
228002,14037086,at,ip-mqb48zz_b0_0145-wvw-1,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2001-116*0307*60,3c,acdfhax1,ad7ad7gc005sv4bfvr21cb,volkswagen vw,passat,m1,m1,1.0,1690.0,1851.0,132.0,170.0,2786.0,1578.0,1564.0,diesel,m,1968.0,140.0,,,,,,,f,2019,,,
